NAME,HISPANIC,AM_IND,ASIAN,PAC_ISLD,FILIPINO,AFRICAN_AM,WHITE,TWO_MORE_RACES,NOT_REPORTED,TOTAL,Pop,PopDens,PerCap_Inc,Med_Inc,MedFam_Inc
Alameda,4503,56,3564,204,935,1800,3400,455,35,14952,1559308,2109.8,36439,73775,90822
Alpine,0,2,0,0,0,0,0,0,0,2,1202,1.6,24375,61343,71932
Amador,39,10,3,1,2,1,220,10,4,290,37159,62.5,27373,52964,68765
Butte,480,36,185,5,14,52,1312,74,12,2170,221578,135.4,24430,43165,56934
Calaveras,90,10,5,3,3,7,406,22,0,546,44921,44,29296,54936,67100
Colusa,210,2,5,1,1,0,73,1,1,294,21424,18.6,22211,50503,56472
Contra Costa,3680,50,1412,101,627,1178,4867,427,24,12366,1081232,1496,38770,79799,95087
Del Norte,59,42,25,0,2,6,194,4,2,334,28066,27.9,19424,39302,52452
El Dorado,362,20,59,4,22,48,1534,79,2,2130,181465,106.3,35128,68507,84690
Fresno,7206,87,1348,33,128,695,2626,119,14,12256,948844,159.2,20231,45201,50046
Glenn,238,7,16,2,0,27,164,6,4,464,28019,21.3,21698,40106,51940
Humboldt,182,109,47,9,9,15,808,66,5,1250,134876,37.8,23516,42153,53532
Imperial,2278,9,31,1,5,22,155,6,2,2509,177026,42.4,16409,41772,46555
Inyo,712,34,8,1,1,168,124,17,2,1067,18439,1.8,27028,45625,69041
Kern,7180,65,263,26,237,639,2912,166,18,11506,857730,105.5,20467,48574,52541
Kings,1096,17,31,3,45,109,495,7,2,1805,151390,109,18518,47341,50202
Lake,171,23,7,2,1,12,348,31,1,596,64209,51.1,21310,35997,47773
Lassen,53,23,2,1,2,3,293,2,2,381,33356,7.3,19847,53351,66717
Los Angeles,64203,285,9833,431,3202,8260,16770,1274,358,104616,9974203,2457.9,27987,55870,62289
Madera,1288,26,28,1,8,32,514,26,5,1928,152452,71.3,17797,45490,49964
Marin,319,6,70,4,12,47,1045,88,3,1594,256802,493.4,58004,91529,120030
Mariposa,20,4,1,0,2,5,97,6,2,137,17946,12.4,28327,50560,63520
Mendocino,340,61,13,3,8,13,445,19,2,904,87612,25,23712,43290,53996
Merced,2595,11,305,6,32,115,726,57,8,3855,261609,135.2,18464,43066,47729
Modoc,42,3,0,0,0,2,41,2,1,91,9335,2.4,21830,38560,46536
Mono,195,8,5,2,2,36,82,3,2,335,14193,4.7,29578,61814,73494
Monterey,3166,11,109,40,112,98,752,81,7,4376,424927,129.5,25048,58582,62370
Napa,722,8,38,5,103,43,487,67,4,1477,139253,186.1,35092,70925,81275
Nevada,483,18,18,6,7,158,786,45,57,1578,98606,103,32117,56949,69649
Orange,16463,320,6159,154,894,595,12445,807,128,37965,3086331,3903.6,34416,75998,85472
Placer,915,54,254,18,153,127,3514,267,35,5337,361518,256.9,35711,73747,88615
Plumas,20,10,2,0,0,1,123,3,0,159,19286,7.6,29167,48032,60709
Riverside,17780,145,999,117,758,2226,7432,492,90,30039,2266899,314.6,23660,56592,63523
Sacramento,4254,162,2459,255,540,2070,5640,480,86,15946,1450277,1503,27071,55615,64496
San Benito,498,7,11,1,16,6,237,7,1,784,56888,41,26317,67874,71124
San Bernardino,17396,133,1101,163,507,2521,6233,435,75,28564,2078586,103.6,21384,54100,59626
San Diego,15967,179,2164,227,1779,1849,11575,1170,90,35000,3183143,756.7,31043,63996,74569
San Francisco,1021,14,1912,54,273,389,388,55,132,4238,829072,17680.1,49986,78378,93391
San Joaquin,4276,108,984,75,537,782,2248,150,12,9172,701050,503.9,22642,53253,59614
San Luis Obispo,948,20,69,4,30,47,1614,82,28,2842,274184,83.1,30392,59454,75828
San Mateo,2072,12,784,150,699,136,1688,390,1,5932,739837,1649.7,47198,91421,108088
Santa Barbara,2742,34,114,6,58,60,1340,106,16,4476,431555,157.8,30526,63409,73636
Santa Clara,6288,39,5293,89,974,463,4247,528,20,17941,1841569,1427.3,42666,93854,106401
Santa Cruz,1366,10,68,7,24,24,1166,79,21,2765,267203,600.2,33050,66923,81495
Shasta,254,96,39,8,10,30,1364,70,4,1875,178520,47.3,23763,44556,55028
Sierra,0,0,0,0,0,0,2,0,0,2,3019,3.2,28030,43107,57708
Siskiyou,55,11,5,0,0,6,245,17,0,339,44261,7.1,22482,37495,46079
Solano,1235,35,171,48,432,650,1290,332,9,4202,421624,513.1,29132,67341,77634
Sonoma,1663,41,186,24,57,109,2404,141,18,4643,491790,312.1,33361,63799,76614
Stanislaus,3967,54,325,63,84,245,2383,205,146,7472,522794,349.8,21729,49573,55357
Sutter,441,16,206,1,10,36,611,70,18,1409,95067,157.8,23828,51527,58434
Tehama,223,11,6,1,3,8,368,11,2,633,63284,21.5,21002,42369,49731
Trinity,3,5,1,1,0,1,71,11,0,93,13515,4.3,23145,36862,49221
Tulare,4461,66,160,11,56,106,1423,32,12,6327,451108,93.5,17888,42863,45296
Tuolumne,70,16,3,1,3,10,420,10,2,535,54347,24.5,26063,48493,58355
Ventura,4540,36,494,34,257,185,3832,169,4,9551,835790,453.5,33308,77335,86890
Yolo,830,9,224,9,34,56,852,43,1,2058,204162,201.2,28080,55508,75225
Yuba,286,28,74,3,11,27,387,23,3,842,73059,115.6,19586,45470,49560
