State,County,Mid 2016 Population,Mid 2017 Population,CCCM,EDUCATION,FSL,HEALTH,NUTRITION,PROTECTION,SHELTER & NFIs,WASH,Total People In Need with Refugee Response,Total People In Need,Total People In Need + People In Need with Refugee Response
Upper Nile,,,,,,,,,,,,,,
Jonglei,,,,,,,,,,,,,,
Unity,,,,,,,,,,,,,,
Warrap,,,,,,,,,,,,,,
Northern Bahr el Ghazal,,,,,,,,,,,,,,
Western Bahr el Ghazal,,,,,,,,,,,,,,
Lakes,,,,,,,,,,,,,,
Western Equatoria,,,,,,,,,,,,,,
Central Equatoria,,,,,,,,,,,,,,
Eastern Equatoria,,,,,,,,,,,,,,
